index,L,R,P_high,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
242,2.01 ,0.29 ,14.00 ,0.000987670 ,0.000986720 ,0.000985740 ,0.000984760 ,0.000983770 ,0.000983370 ,0.009105920 ,0.177652850 ,0.269436380 ,0.305108010 ,0.319609330 ,0.325636390 ,0.328162300 ,0.329224130 ,0.329671050 ,0.329859280 ,0.329938590 ,0.329972030 ,0.329986160 
648,2.22 ,0.25 ,19.00 ,0.000990690 ,0.000989960 ,0.000989200 ,0.000988430 ,0.001517160 ,0.145908180 ,0.260006280 ,0.302141430 ,0.318674390 ,0.325360120 ,0.328093540 ,0.329215300 ,0.329676240 ,0.329865720 ,0.329943610 ,0.329975660 ,0.329988850 ,0.329994280 ,0.329996530 
835,1.77 ,0.14 ,7.00 ,0.000977160 ,0.000975380 ,0.000973670 ,0.000971990 ,0.000970340 ,0.000968680 ,0.000967010 ,0.000965320 ,0.000963600 ,0.000961840 ,0.000960070 ,0.000961630 ,0.001561300 ,0.028541480 ,0.173595300 ,0.260756750 ,0.299050830 ,0.316024750 ,0.323654080 
664,2.43 ,0.22 ,20.00 ,0.000991290 ,0.000990590 ,0.000989870 ,0.000989140 ,0.001017500 ,0.103293450 ,0.244623950 ,0.296394550 ,0.316416910 ,0.324456160 ,0.327729120 ,0.329068050 ,0.329616680 ,0.329841610 ,0.329933850 ,0.329971680 ,0.329987210 ,0.329993590 ,0.329996220 
670,2.13 ,0.19 ,18.00 ,0.000990160 ,0.000989390 ,0.000988590 ,0.000987790 ,0.001129950 ,0.121008210 ,0.250327580 ,0.298300260 ,0.317086540 ,0.324693560 ,0.327812280 ,0.329096400 ,0.329625930 ,0.329844380 ,0.329934530 ,0.329971740 ,0.329987110 ,0.329993460 ,0.329996100 
462,2.42 ,0.15 ,17.00 ,0.000990040 ,0.000989250 ,0.000988430 ,0.000987600 ,0.000986770 ,0.000988070 ,0.035348650 ,0.210468870 ,0.282915720 ,0.310834470 ,0.322095870 ,0.326723930 ,0.328638770 ,0.329432930 ,0.329762600 ,0.329899520 ,0.329956410 ,0.329980060 ,0.329989910 
422,2.40 ,0.14 ,20.00 ,0.000991260 ,0.000990560 ,0.000989840 ,0.000989100 ,0.001074920 ,0.120807300 ,0.251196750 ,0.298884490 ,0.317409580 ,0.324859840 ,0.327894450 ,0.329135950 ,0.329644610 ,0.329853120 ,0.329938610 ,0.329973660 ,0.329988050 ,0.329993960 ,0.329996400 
32,2.47 ,0.24 ,15.00 ,0.000989080 ,0.000988210 ,0.000987300 ,0.000986400 ,0.000985500 ,0.000984580 ,0.000983770 ,0.003358650 ,0.152584780 ,0.260188460 ,0.301537320 ,0.318178990 ,0.325054980 ,0.327924470 ,0.329126370 ,0.329630550 ,0.329842180 ,0.329931080 ,0.329968450 
0,2.42 ,0.20 ,16.00 ,0.000989550 ,0.000988720 ,0.000987860 ,0.000986990 ,0.000986120 ,0.000985250 ,0.001439180 ,0.123707520 ,0.249787720 ,0.297666750 ,0.316675730 ,0.324462450 ,0.327690410 ,0.329034330 ,0.329594760 ,0.329828630 ,0.329926280 ,0.329967070 ,0.329984130 
432,2.25 ,0.25 ,16.00 ,0.000989310 ,0.000988470 ,0.000987600 ,0.000986730 ,0.000985850 ,0.000989990 ,0.044106590 ,0.214602320 ,0.284219040 ,0.311269210 ,0.322241290 ,0.326770850 ,0.328652760 ,0.329436430 ,0.329763070 ,0.329899280 ,0.329956100 ,0.329979830 ,0.329989750 
